	x0	x1	x2	x3	x4
159	1.042146e+01	4.453122e+08	1.195569e-02	9.798088e+02	1.515383e-05
160	1.341580e+02	1.696202e+08	4.223452e-04	6.076292e+01	2.296460e-04
161	1.177769e+01	3.288019e+08	1.383436e-02	9.029600e+02	2.011325e-05
162	1.510905e+02	2.763055e+08	3.522413e-04	8.537353e+01	3.658643e-04
163	1.209073e+01	4.516083e+08	2.212097e-02	1.427326e+03	3.088457e-05
164	1.334666e+02	1.059019e+09	3.845983e-04	2.135594e+02	6.639212e-04
165	1.077561e+01	6.265845e+09	7.030561e-03	4.819659e+03	6.154896e-05
166	1.297012e+02	3.523595e+08	1.893868e-04	6.050652e+01	1.931136e-04
167	1.089604e+01	2.847698e+08	1.361973e-02	7.999998e+02	1.436343e-05
168	1.420495e+02	1.288705e+08	4.333712e-04	5.419160e+01	2.229439e-04
169	1.265068e+01	2.581245e+08	1.461278e-02	8.128288e+02	2.001122e-05
170	1.538681e+02	2.579621e+08	3.488025e-04	8.299226e+01	3.627478e-04
171	1.244813e+01	4.276538e+08	2.274757e-02	1.397691e+03	3.135744e-05
172	1.305847e+02	8.045619e+08	4.687030e-04	1.978786e+02	6.038061e-04
173	1.078283e+01	5.011508e+09	7.014702e-03	4.530712e+03	5.560734e-05
174	1.333592e+02	1.384188e+08	3.407337e-04	4.549924e+01	1.667420e-04
175	1.088402e+01	1.620830e+08	1.621104e-02	6.214033e+02	1.225068e-05
176	1.503781e+02	1.010181e+08	4.380991e-04	4.894317e+01	2.178486e-04
177	1.338193e+01	2.165482e+08	1.428787e-02	7.429686e+02	1.988590e-05
178	1.592099e+02	2.225034e+08	3.302699e-04	7.810548e+01	3.470543e-04
179	1.328561e+01	3.940806e+08	2.184728e-02	1.340257e+03	3.154073e-05
180	1.376199e+02	7.580118e+08	4.363077e-04	1.915421e+02	6.105036e-04
181	1.142314e+01	5.260579e+09	6.543110e-03	4.630054e+03	5.803039e-05
182	1.574971e+02	6.623597e+07	4.545354e-04	3.482696e+01	1.682862e-04
183	1.354976e+01	1.042132e+08	1.596777e-02	4.800994e+02	1.399056e-05
184	1.576536e+02	8.227879e+07	4.395322e-04	4.493344e+01	2.125272e-04
185	1.406318e+01	1.858593e+08	1.402409e-02	6.905564e+02	1.970222e-05
186	1.533310e+02	2.255841e+08	3.418827e-04	7.994456e+01	3.313297e-04
187	1.291377e+01	4.260959e+08	1.943540e-02	1.374608e+03	2.991784e-05
188	1.727788e+02	4.062518e+07	5.022294e-04	2.863325e+01	1.629464e-04
189	1.434343e+01	7.441039e+07	1.574740e-02	4.014136e+02	1.349678e-05
190	1.608568e+02	1.662156e+08	1.142333e-04	3.174638e+01	1.529089e-04
191	1.264905e+01	9.579595e+07	7.240916e-03	4.249501e+02	8.679721e-06
192	1.697801e+02	6.996272e+07	4.391706e-04	4.206776e+01	2.134269e-04
193	1.431562e+01	1.536758e+08	1.464327e-02	6.493005e+02	1.877747e-05
194	1.545335e+02	2.348355e+08	3.395140e-04	8.225857e+01	3.341864e-04
195	1.309926e+01	4.674276e+08	1.941145e-02	1.442740e+03	3.108504e-05
196	1.791617e+02	3.352110e+07	5.184726e-04	2.668296e+01	1.586274e-04
197	1.496146e+01	6.380192e+07	1.706785e-02	3.777812e+02	1.328584e-05
198	1.574481e+02	1.131796e+08	1.693022e-04	2.966092e+01	1.418355e-04
199	1.232729e+01	7.887146e+07	8.763203e-03	3.829346e+02	8.413779e-06
200	1.758413e+02	6.633890e+07	4.213293e-04	4.099738e+01	2.136491e-04
201	1.462271e+01	1.399571e+08	1.630564e-02	6.437044e+02	1.897254e-05
202	1.579168e+02	2.614815e+08	3.029959e-04	8.559436e+01	3.401009e-04
203	1.381182e+01	5.560574e+08	1.744501e-02	1.538584e+03	3.333270e-05
204	1.558863e+02	7.883544e+07	2.127690e-04	2.689578e+01	1.306890e-04
205	1.205070e+01	5.738953e+07	1.401654e-02	3.586488e+02	8.041065e-06
206	1.848119e+02	2.745947e+07	5.347870e-04	2.477869e+01	1.532793e-04
207	1.543291e+01	5.485351e+07	1.788698e-02	3.552497e+02	1.294648e-05
208	1.780180e+02	6.197828e+07	4.277139e-04	4.031180e+01	2.086608e-04
209	1.489916e+01	1.344074e+08	1.602328e-02	6.348287e+02	1.867313e-05
210	1.561767e+02	2.663520e+08	3.112466e-04	8.831959e+01	3.319614e-04
211	1.398360e+01	6.158143e+08	1.633227e-02	1.617494e+03	3.355026e-05
212	1.710514e+02	4.975041e+07	2.661532e-04	2.323716e+01	1.300345e-04
213	1.371812e+01	4.345846e+07	1.680340e-02	3.128367e+02	8.894970e-06
214	1.873907e+02	2.311821e+07	5.331510e-04	2.308758e+01	1.458082e-04
215	1.668759e+01	4.918215e+07	1.694207e-02	3.333311e+02	1.329840e-05
216	1.811473e+02	5.582952e+07	4.275112e-04	3.883494e+01	2.029611e-04
217	1.527191e+01	1.307262e+08	1.460084e-02	6.165334e+02	1.826351e-05
218	1.554288e+02	2.687448e+08	3.066764e-04	8.968176e+01	3.236762e-04
219	1.407411e+01	6.718135e+08	1.473393e-02	1.677817e+03	3.328325e-05
220	1.655318e+02	3.680305e+07	3.401292e-04	2.152226e+01	1.200035e-04
221	1.462938e+01	3.750659e+07	1.782638e-02	2.917551e+02	9.313982e-06
222	1.910454e+02	2.042527e+07	5.344290e-04	2.205657e+01	1.412109e-04
223	1.738112e+01	4.527710e+07	1.666779e-02	3.208279e+02	1.326462e-05
224	1.832495e+02	5.427014e+07	4.229476e-04	3.865465e+01	1.995349e-04
225	1.553566e+01	1.245937e+08	1.514702e-02	6.168634e+02	1.817489e-05
226	1.557604e+02	2.608666e+08	3.326037e-04	9.132834e+01	3.185946e-04
227	1.350908e+01	6.723438e+08	1.516084e-02	1.739991e+03	3.148353e-05
228	1.773993e+02	2.297441e+07	4.543301e-04	1.872753e+01	1.177274e-04
229	1.501940e+01	2.879030e+07	1.958174e-02	2.557383e+02	8.981962e-06
230	2.038162e+02	1.786473e+07	4.926852e-04	2.049200e+01	1.410198e-04
231	1.836715e+01	4.103025e+07	1.467852e-02	3.009365e+02	1.334293e-05
232	1.875968e+02	5.513662e+07	4.080649e-04	3.903649e+01	2.001669e-04
233	1.598181e+01	1.154089e+08	1.756812e-02	6.275608e+02	1.869764e-05
234	1.508095e+02	2.428277e+08	3.524595e-04	9.077368e+01	2.999992e-04
235	1.417505e+01	6.995267e+08	1.414515e-02	1.774517e+03	3.241017e-05
236	1.950580e+02	1.060070e+07	6.341697e-04	1.451582e+01	1.094440e-04
237	1.638981e+01	1.871819e+07	2.163683e-02	2.027368e+02	8.811631e-06
238	2.076266e+02	1.827965e+07	5.054504e-04	2.096683e+01	1.421406e-04
